code_metier;nom_inventaire;code_inventaire;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;nature_localisation;x_wgs84;y_wgs84;fiche_risque
SSP3891604;BASIAS;IDF9302550;;19 GRANDE RUE;93310;93061;LE PRE SAINT GERVAIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891604
SSP3891960;BASIAS;IDF9302910;; Chemin RUFFINS des;93100;93048;MONTREUIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891960
SSP3891737;BASIAS;IDF9302684;;6 Impasse CHATEAU du;93170;93006;BAGNOLET;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891737
SSP3891738;BASIAS;IDF9302685;;2 rue CLOS BOUTON du;93170;93006;BAGNOLET;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891738
SSP3889713;BASIAS;IDF9300651;;129 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889713
SSP3889714;BASIAS;IDF9300652;; rue MARCEL SEMBAT;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889714
SSP3890722;BASIAS;IDF9301665;;"47 rue REINES aux, actuelle rue HEURTAULT";93300;93001;AUBERVILLIERS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890722
SSP3889742;BASIAS;IDF9300680;; Chemin SAINT-DENIS à AUBERVILLIERS de;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889742
SSP3889750;BASIAS;IDF9300688;;" rue CHARLES MICHELS, ex rue des POISSONNIERS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889750
SSP3889751;BASIAS;IDF9300689;;19 rue FRANCIS DE PRESSENSE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889751
SSP3890056;BASIAS;IDF9300997;;"37 rue ROSIERS des ; 2 cité GAGIN";93400;93070;SAINT OUEN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890056
SSP3890993;BASIAS;IDF9301938;; Lotissement INDUSTRIEL du COUDRAY (lot n°78);93150;93007;LE BLANC MESNIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890993
SSP3890995;BASIAS;IDF9301940;; rue PARC du;93150;93007;LE BLANC MESNIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890995
SSP3890998;BASIAS;IDF9301943;; avenue ALBERT EINSTEIN;93150;93007;LE BLANC MESNIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890998
