"grid_name","nb_tot_carr","nb_carr_casias","IPP_chimique","IPP_elements_mineraux","IPP_metaux_et_metalloides","IPP_micropolluants_organiques","IPP_pharmaceutiques_et_hormones","IPP_phytosanitaires","groupe_de_substances","pourcentage_carreaux"
"pollution_grid_7km",414,264,264,264,264,264,1,262,"part_pharmaceutiques_hormones",0.241545893719807
"pollution_grid_7km",414,264,264,264,264,264,1,262,"part_phytosanitaires",63.2850241545894
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_carr_casias",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_chimique",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_elements_mineraux",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_metaux_metalloides",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_micropolluants_organiques",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_pharmaceutiques_hormones",0.3125
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_phytosanitaires",63.125
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_carr_casias",66.6666666666667
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_chimique",66.6666666666667
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_elements_mineraux",66.6666666666667
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_metaux_metalloides",66.2698412698413
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_micropolluants_organiques",66.6666666666667
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_pharmaceutiques_hormones",0
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_phytosanitaires",65.8730158730159
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_carr_casias",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_chimique",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_elements_mineraux",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_metaux_metalloides",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_micropolluants_organiques",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_pharmaceutiques_hormones",0
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_phytosanitaires",66.3461538461538
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_carr_casias",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_chimique",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_elements_mineraux",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_metaux_metalloides",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_micropolluants_organiques",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_pharmaceutiques_hormones",0
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_phytosanitaires",63.3333333333333
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_carr_casias",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_chimique",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_elements_mineraux",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_metaux_metalloides",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_micropolluants_organiques",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_pharmaceutiques_hormones",0
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_phytosanitaires",68.5314685314685
