code_metier;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;x_wgs84;y_wgs84;fiche_risque
SSP3889108;;"86 avenue PRESIDENT WILSON du, ex 86 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3593278;48.90671;https://fiches-risques.brgm.fr/georisques/casias/SSP3889108
SSP3889109;;"94 avenue PRESIDENT WILSON du, ex 94 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3589866;48.906784;https://fiches-risques.brgm.fr/georisques/casias/SSP3889109
SSP3889110;;"113 avenue PARIS de, actuelle avenue du PRESIDENT WILSON";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3575406;48.906918;https://fiches-risques.brgm.fr/georisques/casias/SSP3889110
SSP3889111;;"96 avenue PARIS de, actuelle 96 avenue du PRESIDENT WILSON";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.359355;48.906956;https://fiches-risques.brgm.fr/georisques/casias/SSP3889111
SSP3889112;;13 Impasse TREZEL;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3563263;48.906075;https://fiches-risques.brgm.fr/georisques/casias/SSP3889112
SSP3889113;;"115 avenue PARIS de, actuelle 115 avenue du PRESIDENT WILSON";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.357336;48.90707;https://fiches-risques.brgm.fr/georisques/casias/SSP3889113
SSP3889114;;"115 avenue PRESIDENT WILSON  du, ex 115 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.357377;48.907207;https://fiches-risques.brgm.fr/georisques/casias/SSP3889114
SSP3889131;;"143 avenue PARIS de, ex 143 avenue du PRESIDENT WILSON";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.357337;48.909115;https://fiches-risques.brgm.fr/georisques/casias/SSP3889131
SSP3889132;;145 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.357324;48.909374;https://fiches-risques.brgm.fr/georisques/casias/SSP3889132
SSP3889283;;6 rue PROUDHON;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3599005;48.90626;https://fiches-risques.brgm.fr/georisques/casias/SSP3889283
